LSOA21CD,Childcare accessibility,Childcare accessibility (driving only),Childcare accessibility (public transport only),Childcare accessibility - good or outstanding places (overall)
E01025508,0.126905905487147,0.122999555622391,0.144176634987484,0.0212368367473415
E01025509,0.128625126439968,0.121873091186417,0.179168545263482,0.0427601572637361
E01025510,0.336159291081055,0.340238917553996,0.226636917446661,0.251731545584497
E01025511,0.431400325572011,0.440854956800714,0.276667259256271,0.258964748329547
E01025512,0.357080170455368,0.362172424506732,0.301857599946146,0.274004854616824
E01025513,0.319680353646119,0.330146644180433,0.161885939593644,0.130399649323817
E01025514,0.230624130185017,0.238674271821948,0.152146307781539,0.165507230090411
E01025515,0.205989752580114,0.215761830957648,0.067616339480438,0.151194432952992
E01025516,0.341953467969198,0.373577368535162,0.182552265646086,0.29981637054404
E01025517,0.309805878669024,0.337564323240914,0.16668284204012,0.274247137678156
E01025518,0.318527145585051,0.389958783621002,0.190479244017166,0.287129594725857
E01025519,0.326612098916575,0.346651557478286,0.127187342146017,0.282287848880906
E01025520,0.162071505955238,0.176514091631557,0.133583029228757,0.159483548007135
E01025521,0.13529738962464,0.145964403206452,0.119438200395262,0.131098998590488
E01025522,0.169582734484898,0.173664134911144,0.158320749702272,0.167876623773852
E01025523,0.168783296473996,0.175495111718741,0.136006964014959,0.165892909005179
E01025524,0.151955429553268,0.163375376846029,0.133169603132309,0.148871268989166
E01025525,0.158200104895633,0.162878985941899,0.13680077460043,0.157059647706653
E01025526,0.166736418606913,0.159567392297513,0.184365266654007,0.165059981351317
E01025527,0.166739726916004,0.159362881134954,0.173612523645475,0.152502420884995
E01025528,0.167637511344247,0.179754784890757,0.13107150243953,0.148848580499848
E01025529,0.138692749335036,0.141606047684246,0.113477541490741,0.122622151191016
E01025530,0.360488186363182,0.361617178221715,0.343726024540908,0.160417726976391
E01025531,0.125775685876505,0.132088747725761,0.0507063719953379,0.0759726587762626
E01025532,0.457490223347541,0.466925947355952,0.32463518816596,0.226336535542717
E01025533,0.449599719905603,0.467634070571091,0.355711544145808,0.223062318991681
E01025534,0.218426464371067,0.219130157904966,0.213426269740587,0.187407648289001
E01025535,0.18978326042547,0.197100501614544,0.0971266776620647,0.169284335848866
E01025536,0.17847503698431,0.187267254347084,0.15329324619953,0.154541518055321
E01025537,0.224536185433367,0.233342099765486,0.154551424993874,0.192713944675949
E01025538,0.325210343206652,0.328024205087205,0.194771952582337,0.269947758481551
E01025539,0.272403017756098,0.28758359237153,0.118304162843988,0.239112429953971
E01025540,0.161325305100941,0.165416081856228,0.123735986188807,0.14056709661381
E01025541,0.319804634028732,0.333913899929973,0.181465625700968,0.173289530893217
E01025542,0.384717565606914,0.392197601049962,0.307140590860333,0.208199969569236
E01025543,0.345686163487647,0.365803999561825,0.265185427987839,0.186618872654656
E01025544,0.365166693551932,0.393940127524521,0.266541219255303,0.193890693288716
E01025545,0.336916703445855,0.355327208918412,0.184099151397003,0.137612639895399
E01025546,0.32684410245313,0.343523200145225,0.253269800131705,0.140008696336949
E01025547,0.223693730264668,0.230432494131436,0.155210128769616,0.173040957081535
E01025548,0.324175705772652,0.329048553880897,0.285748151537265,0.198927804597849
E01025549,0.235771803516104,0.235925043803298,0.231216805922294,0.147254069878885
E01025550,0.296078139926068,0.315998358345906,0.108230161497546,0.145400619461016
E01025551,0.270033958882897,0.28128941970688,0.158850683050082,0.127680922461701
E01025552,0.333128690167623,0.346834718501055,0.16935221994476,0.155192639885093
E01025553,0.263007293893125,0.267980853057929,0.195893573651971,0.17797682774558
E01025554,0.332585649526544,0.369727968976996,0.216394095019459,0.172153617872289
E01025555,0.343803260340495,0.379578968836616,0.173181675885544,0.179551241972355
E01025556,0.337776168644114,0.351279015507344,0.265529531042956,0.17502646881266
E01025557,0.338745529336403,0.35388267697582,0.200029158215961,0.179875033696326
E01025558,0.334247915073928,0.33841551269423,0.312400123339422,0.19711344134002
E01025559,0.322934070387039,0.339170646690019,0.144566411754835,0.198816841137555
E01025560,0.331119214599297,0.343288340382415,0.247494144793026,0.19623347176386
E01025561,0.175498450092692,0.176133105869263,0.144240206514404,0.171130558903055
E01025562,0.144694771662232,0.144797802065768,0.114024534946182,0.118546070751169
E01025563,0.175601051229518,0.184662870311914,0.120549593138336,0.0605766926907436
E01025564,0.208353096530228,0.212483190335084,0.169694302132584,0.073890296257306
E01025565,0.208996731815135,0.212836576570127,0.150328057201731,0.0892296623381399
E01025566,0.232479976276601,0.231957284251469,0.239956131327949,0.121479188999007
E01025567,0.270808554138064,0.290545599539387,0.206121459201929,0.117819106778012
E01025568,0.216497038556242,0.224787883305236,0.153725772322422,0.137078783947099
E01025569,0.240850142266134,0.249032553371367,0.187652653354903,0.125266008748047
E01025570,0.331148724298135,0.35336425268562,0.306581780202765,0.170002108900329
E01025571,0.330412543809693,0.34970211731016,0.264176084784032,0.169234972572134
E01025572,0.301410837563491,0.322268767767869,0.216852466901492,0.157779106121481
E01025573,0.218024321449926,0.218093657654117,0.210253211479764,0.135777532872552
E01025574,0.180734675168811,0.183202069032784,0.182339318857636,0.111878675191103
E01025575,0.147510748886842,0.162798662868659,0.0867352677347268,0.0833912151316265
E01025576,0.383932431802031,0.407695305788649,0.247025663749078,0.185415915517063
E01025577,0.344573434233758,0.371246926909706,0.248201373912631,0.179574897317757
E01025578,0.272790460310519,0.28125821721075,0.255831444031576,0.165420201348231
E01025579,0.228444730213494,0.241921258575924,0.209196211690239,0.139589268663668
E01025580,0.266532765672298,0.270406486493263,0.225718707338331,0.159290577032717
E01025581,0.153637841488395,0.154982546458142,0.14911029150393,0.0980429277892797
E01025582,0.18580113503231,0.172826355675164,0.200423401866105,0.115821707092169
E01025583,0.138948211447865,0.128576333351365,0.156684753026367,0.0872747737492969
E01025584,0.145963766947251,0.130096110767143,0.160798714150972,0.0915483893775189
E01025585,0.122073659358638,0.122774662850863,0.0988869556372694,0.0564345911925452
E01025586,0.2179360335639,0.22128269926066,0.194678182963739,0.0579827903511775
E01025587,0.219067016169306,0.223731518641756,0.179267878180988,0.0548773246268859
E01025588,0.18516633070839,0.18780094046208,0.167377638437777,0.0470827613058557
E01025589,0.241840765589469,0.252149339315041,0.148652322550199,0.0858801649081209
E01025590,0.213411488062936,0.222882335608412,0.202689128256583,0.131091851264772
E01025591,0.200947221824884,0.208766366922509,0.153741693958126,0.123166958286888
E01025592,0.183786800447965,0.208665637015131,0.151410024537727,0.110760649912327
E01025593,0.236665206464611,0.243121586775099,0.187623211679807,0.138775775924412
E01025594,0.38278405602394,0.40600181787993,0.241796854655594,0.177612907755155
E01025595,0.314389219201416,0.32511927367342,0.204261770206212,0.132141695348558
E01025596,0.279412016210558,0.288398321599645,0.182661124535778,0.147871153860998
E01025597,0.310650178720975,0.324008687200747,0.191705132605307,0.160326781470647
E01025598,0.27471933204076,0.29204012168373,0.210622197758005,0.134587411427353
E01025599,0.284243612348099,0.295285727350717,0.182579096766271,0.173681426131043
E01025600,0.252082995366849,0.260918160276754,0.155472245402906,0.139939478664269
E01025601,0.39682100370561,0.41619093628433,0.246400886881721,0.198334406295588
